央视频道,#genre#
风云音乐,http://192.168.2.222:4022/rtp/239.11.0.68:1025
央视网球,http://192.168.2.222:4022/rtp/239.11.0.61:1025
上海纪实,http://192.168.2.222:4022/rtp/239.10.0.78:1025
北京纪实,http://192.168.2.222:4022/rtp/239.10.0.184:1025
金鹰纪实,http://192.168.2.222:4022/rtp/239.10.0.206:1025
中国交通,http://192.168.2.222:4022/rtp/239.10.0.72:1025
快乐垂钓,http://192.168.2.222:4022/rtp/239.11.0.131:1025
茶频道,http://192.168.2.222:4022/rtp/239.11.0.130:1025
咪咕-赛事,http://192.168.2.222:4022/rtp/239.21.0.33:3472
IPTV野外,http://192.168.2.222:4022/rtp/239.20.0.230:2258
IPTV法治,http://192.168.2.222:4022/rtp/239.20.0.231:2260
IPTV谍战剧场,http://192.168.2.222:4022/rtp/239.20.0.228:2254
IPTV相声小品,http://192.168.2.222:4022/rtp/239.20.0.229:2256
IPTV3+,http://192.168.2.222:4022/rtp/239.20.0.236:2270
IPTV5+,http://192.168.2.222:4022/rtp/239.20.0.237:2272
IPTV6+,http://192.168.2.222:4022/rtp/239.20.0.232:2262
IPTV8+,http://192.168.2.222:4022/rtp/239.20.0.234:2266
热播剧场,http://192.168.2.222:4022/rtp/239.20.0.235:2268
经典电影,http://192.168.2.222:4022/rtp/239.20.0.233:2264
少儿动画,http://192.168.2.222:4022/rtp/239.20.0.238:2274
魅力时尚,http://192.168.2.222:4022/rtp/239.20.0.239:2276
环球奇观,http://192.168.2.222:4022/rtp/239.20.0.245:2288
国学频道,http://192.168.2.222:4022/rtp/239.20.0.247:2292
老故事,http://192.168.2.222:4022/rtp/239.20.0.227:2252
